epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1131.95,0.83406,0.52306,0.95646,0.97967,0.99572,0.99303,0.78596,0.75703,0.54297,0.99897,0.0014588,0.0014588,0.0014588
43,1156.19,0.81988,0.51564,0.94373,0.97902,0.99902,0.9926,0.7884,0.7468,0.52182,0.98957,0.0014456,0.0014456,0.0014456
44,1180.78,0.81588,0.51587,0.92987,0.98064,0.9975,0.99186,0.78924,0.718,0.50703,0.97354,0.0014324,0.0014324,0.0014324
45,1206.19,0.79432,0.50852,0.94003,0.98234,0.99572,0.99295,0.78941,0.70895,0.49037,0.95851,0.0014192,0.0014192,0.0014192
46,1233.18,0.77829,0.48662,0.92035,0.9856,0.99644,0.99395,0.79783,0.7081,0.48187,0.9566,0.001406,0.001406,0.001406
47,1258.78,0.77218,0.47997,0.919,0.98647,0.99907,0.99419,0.79983,0.7104,0.48361,0.96357,0.0013928,0.0013928,0.0013928
48,1284.62,0.75469,0.47921,0.91003,0.98813,0.99791,0.9934,0.80958,0.67665,0.45861,0.93609,0.0013796,0.0013796,0.0013796
49,1310.04,0.73652,0.46115,0.90932,0.98809,0.99474,0.99375,0.80992,0.65469,0.44745,0.92572,0.0013664,0.0013664,0.0013664
50,1334.41,0.75401,0.48094,0.92049,0.98514,0.99572,0.99379,0.80017,0.67926,0.45605,0.93443,0.0013532,0.0013532,0.0013532
51,1358.82,0.75681,0.47371,0.92261,0.98728,0.99671,0.99359,0.78906,0.71286,0.45831,0.94838,0.00134,0.00134,0.00134
52,1386.93,0.74575,0.4645,0.91772,0.98864,0.99829,0.99305,0.80964,0.65124,0.44451,0.9228,0.0013268,0.0013268,0.0013268
53,1412.05,0.73774,0.45543,0.91863,0.98897,0.99791,0.99324,0.80476,0.65243,0.44342,0.92089,0.0013136,0.0013136,0.0013136
54,1438.48,0.74467,0.44918,0.91372,0.9848,0.99816,0.99422,0.81999,0.63341,0.43322,0.91434,0.0013004,0.0013004,0.0013004
55,1463.14,0.71073,0.43841,0.89196,0.98645,0.99486,0.9944,0.81653,0.6409,0.43119,0.91897,0.0012872,0.0012872,0.0012872
56,1490.83,0.70966,0.43466,0.89469,0.98142,0.99469,0.99409,0.81903,0.63296,0.43477,0.91373,0.001274,0.001274,0.001274
57,1517,0.70334,0.43851,0.90171,0.98725,0.99461,0.99413,0.82488,0.61259,0.43396,0.90527,0.0012608,0.0012608,0.0012608
58,1543.59,0.70169,0.4355,0.89394,0.98452,0.99829,0.9944,0.82389,0.61488,0.41479,0.91009,0.0012476,0.0012476,0.0012476
59,1570.54,0.69947,0.4328,0.9031,0.98549,0.99829,0.99446,0.83224,0.59704,0.41089,0.90254,0.0012344,0.0012344,0.0012344
60,1598.41,0.69744,0.42592,0.89759,0.98575,0.99572,0.99449,0.8369,0.59183,0.4087,0.89663,0.0012212,0.0012212,0.0012212
61,1625.44,0.69753,0.43004,0.87876,0.98284,0.99572,0.9945,0.82043,0.61839,0.40841,0.901,0.001208,0.001208,0.001208
62,1650.7,0.68205,0.4235,0.88321,0.9881,0.9953,0.99454,0.82386,0.58635,0.40476,0.89251,0.0011948,0.0011948,0.0011948
63,1679.44,0.69289,0.42651,0.88504,0.9869,0.99658,0.99457,0.82963,0.5835,0.4026,0.88997,0.0011816,0.0011816,0.0011816
64,1706.97,0.68213,0.42601,0.8895,0.98976,0.99298,0.99395,0.81636,0.63489,0.41197,0.90147,0.0011684,0.0011684,0.0011684
65,1732.5,0.67576,0.41632,0.89571,0.98896,0.99742,0.99454,0.83957,0.56951,0.38459,0.88664,0.0011552,0.0011552,0.0011552
66,1759.3,0.67343,0.41642,0.89023,0.99202,0.99486,0.9947,0.83215,0.59028,0.38663,0.88631,0.001142,0.001142,0.001142
67,1784.24,0.65554,0.40409,0.87595,0.99221,0.99572,0.99469,0.81948,0.60497,0.38837,0.88886,0.0011288,0.0011288,0.0011288
68,1809.94,0.65898,0.40609,0.87305,0.99488,0.99741,0.99488,0.84436,0.56709,0.38027,0.88132,0.0011156,0.0011156,0.0011156
69,1834.56,0.66186,0.40507,0.87524,0.99402,0.99686,0.99483,0.84497,0.56224,0.37586,0.87715,0.0011024,0.0011024,0.0011024
70,1859.53,0.63861,0.39855,0.87063,0.99301,0.99658,0.99486,0.84941,0.54093,0.36902,0.87215,0.0010892,0.0010892,0.0010892
71,1885.32,0.6557,0.39616,0.86778,0.99233,0.99643,0.9949,0.84474,0.5578,0.37197,0.8764,0.001076,0.001076,0.001076
72,1911.06,0.63408,0.39541,0.87719,0.98764,0.99658,0.9948,0.84089,0.55305,0.37683,0.87543,0.0010628,0.0010628,0.0010628
73,1935.12,0.6275,0.38876,0.86719,0.99124,0.99486,0.9948,0.84394,0.55112,0.37408,0.88061,0.0010496,0.0010496,0.0010496
