epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.626,3.50793,3.54998,2.72105,0.18607,0.08931,0.01127,0.00285,2.69129,5.81554,1.81933,0.00028,0.00028,0.00028
2,276.394,2.21688,3.53745,1.72435,0.01635,0.07437,0.00478,0.0015,2.62828,14.3506,1.84993,0.000568119,0.000568119,0.000568119
3,424.835,2.41934,3.37814,1.79857,0.00535,0.08094,0.00276,0.00116,2.18676,87.5254,1.85377,0.000854324,0.000854324,0.000854324
4,571.852,2.20116,2.91082,1.73276,0.01625,0.02743,0.00199,0.00043,3.04297,21.2465,2.06243,0.0009901,0.0009901,0.0009901
5,709.385,2.44898,2.85252,1.86531,0.06105,0.03079,0.00356,0.00115,2.43355,196.338,1.87011,0.0009868,0.0009868,0.0009868
6,831.382,2.25482,2.57964,1.77916,0.06105,0.03079,0.00356,0.00115,2.43355,196.338,1.87011,0.0009835,0.0009835,0.0009835
7,961.963,2.23483,2.43671,1.82595,0.42423,0.11993,0.03619,0.01223,2.72804,2.79595,2.09965,0.0009802,0.0009802,0.0009802
8,1072.88,2.05432,2.30936,1.70752,0.0663,0.12975,0.03179,0.00917,2.35215,3.4405,1.9047,0.0009769,0.0009769,0.0009769
9,1192.17,2.2107,2.27445,1.69705,0.0733,0.17055,0.04078,0.01207,2.64174,3.26324,1.77811,0.0009736,0.0009736,0.0009736
10,1306.44,1.99134,2.08982,1.60475,0.27681,0.17741,0.08714,0.03559,2.06878,2.26515,1.58548,0.0009703,0.0009703,0.0009703
11,1418.97,1.8384,1.94687,1.52211,0.32457,0.13706,0.10383,0.04532,1.92232,2.00913,1.49874,0.000967,0.000967,0.000967
12,1542.97,1.87993,1.92714,1.54325,0.34886,0.11221,0.11447,0.05719,1.76522,2.23986,1.45397,0.0009637,0.0009637,0.0009637
13,1713.08,1.66054,1.70414,1.46938,0.28745,0.24299,0.17466,0.08742,1.77475,1.80334,1.52676,0.0009604,0.0009604,0.0009604
14,1852.65,1.6229,1.61731,1.4783,0.15364,0.26244,0.19722,0.09568,1.72599,1.91483,1.43118,0.0009571,0.0009571,0.0009571
15,1986.3,1.61243,1.68653,1.43969,0.16297,0.27161,0.21675,0.1069,1.73303,1.72424,1.45727,0.0009538,0.0009538,0.0009538
16,2109.1,1.61682,1.58327,1.40843,0.2,0.25375,0.22364,0.12789,1.54229,1.52269,1.41441,0.0009505,0.0009505,0.0009505
17,2251.45,1.47665,1.41645,1.40063,0.2,0.25375,0.22364,0.12789,1.54229,1.52269,1.41441,0.0009472,0.0009472,0.0009472
18,2403.95,1.49702,1.52729,1.37181,0.25144,0.24654,0.20538,0.09939,1.71928,1.89854,1.4878,0.0009439,0.0009439,0.0009439
19,2548.29,1.51329,1.54366,1.36411,0.35407,0.24088,0.22516,0.12944,1.47837,1.69812,1.2891,0.0009406,0.0009406,0.0009406
20,2697.91,1.52966,1.41314,1.34311,0.36263,0.22238,0.21361,0.12418,1.45548,1.62081,1.28396,0.0009373,0.0009373,0.0009373
21,2821.22,1.3845,1.36762,1.3093,0.22524,0.22451,0.23267,0.14365,1.39713,1.54109,1.23361,0.000934,0.000934,0.000934
22,2946.92,1.34617,1.39611,1.27326,0.36456,0.30885,0.26466,0.1616,1.36177,1.29854,1.2254,0.0009307,0.0009307,0.0009307
23,3077.47,1.36475,1.27144,1.26848,0.41117,0.29689,0.27784,0.16889,1.31193,1.23496,1.17499,0.0009274,0.0009274,0.0009274
24,3213.25,1.35729,1.28501,1.28044,0.41508,0.28918,0.27026,0.15568,1.38219,1.28917,1.16556,0.0009241,0.0009241,0.0009241
25,3367.63,1.29675,1.15588,1.22771,0.38771,0.30212,0.27016,0.16085,1.32729,1.22877,1.18001,0.0009208,0.0009208,0.0009208
26,3522.01,1.29235,1.19373,1.25271,0.57965,0.32506,0.28758,0.17573,1.30946,1.08976,1.15632,0.0009175,0.0009175,0.0009175
