epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1319.03,1.10499,0.77339,1.08684,0.8686,0.37859,0.4257,0.27233,1.11397,0.74652,1.10858,0.0005941,0.0005941,0.0005941
43,1349.27,1.12924,0.71566,1.07098,0.8686,0.37859,0.4257,0.27233,1.11397,0.74652,1.10858,0.0005842,0.0005842,0.0005842
44,1380.2,1.16579,0.77801,1.08763,0.67098,0.43867,0.42171,0.26495,1.14138,0.8074,1.10197,0.0005743,0.0005743,0.0005743
45,1403.11,1.12358,0.87188,1.08849,0.66183,0.45177,0.42417,0.26812,1.12582,0.86004,1.10469,0.0005644,0.0005644,0.0005644
46,1426.78,1.06528,0.73785,1.06769,0.64586,0.44858,0.43285,0.27637,1.08785,0.79605,1.09598,0.0005545,0.0005545,0.0005545
47,1457.36,1.08414,0.76866,1.06633,0.90286,0.34764,0.43414,0.2765,1.10273,0.76681,1.08304,0.0005446,0.0005446,0.0005446
48,1489.49,1.07558,0.73318,1.05538,0.70029,0.51156,0.44462,0.28266,1.08968,0.73978,1.08314,0.0005347,0.0005347,0.0005347
49,1520.81,1.08812,0.73224,1.08646,0.71052,0.4513,0.43139,0.28067,1.08807,0.73127,1.10715,0.0005248,0.0005248,0.0005248
50,1544.96,1.0777,0.77393,1.06844,0.70729,0.43994,0.42021,0.27211,1.1133,0.76469,1.09697,0.0005149,0.0005149,0.0005149
51,1575.35,1.10844,0.85705,1.06416,0.74512,0.36376,0.41892,0.27105,1.1192,0.78309,1.07154,0.000505,0.000505,0.000505
52,1597.58,1.12989,0.76007,1.072,0.72832,0.38705,0.4271,0.28056,1.09166,0.74242,1.06617,0.0004951,0.0004951,0.0004951
53,1620.41,1.0609,0.73681,1.06035,0.73428,0.38855,0.44113,0.28981,1.06922,0.71422,1.06697,0.0004852,0.0004852,0.0004852
54,1651.94,1.07462,0.71969,1.0509,0.92123,0.37934,0.45041,0.29529,1.0601,0.71038,1.07157,0.0004753,0.0004753,0.0004753
55,1687.53,1.10923,0.7596,1.06169,0.74583,0.37497,0.44529,0.29244,1.06438,0.71028,1.07916,0.0004654,0.0004654,0.0004654
56,1712.01,1.07517,0.75769,1.07327,0.91443,0.36566,0.4413,0.29434,1.06105,0.71311,1.07698,0.0004555,0.0004555,0.0004555
57,1736.67,1.06986,0.76171,1.04678,0.89724,0.38842,0.45235,0.30224,1.05986,0.70149,1.07078,0.0004456,0.0004456,0.0004456
58,1777.39,1.09204,0.79254,1.06713,0.90546,0.40167,0.45849,0.30753,1.05766,0.68894,1.06751,0.0004357,0.0004357,0.0004357
59,1804.39,1.08392,0.7757,1.04504,0.90546,0.40167,0.45849,0.30753,1.05766,0.68894,1.06751,0.0004258,0.0004258,0.0004258
60,1836.35,1.04057,0.73181,1.02698,0.72747,0.4118,0.45541,0.30771,1.05177,0.67268,1.06391,0.0004159,0.0004159,0.0004159
61,1866.36,1.11578,0.77619,1.08136,0.75368,0.40675,0.46586,0.31541,1.03653,0.65523,1.06666,0.000406,0.000406,0.000406
62,1900.71,1.07974,0.70347,1.04195,0.92909,0.39152,0.46028,0.31309,1.03138,0.65794,1.05815,0.0003961,0.0003961,0.0003961
63,1922.24,1.04243,0.66688,1.0253,0.75801,0.38978,0.46518,0.31461,1.03509,0.66252,1.05992,0.0003862,0.0003862,0.0003862
64,1947.11,1.04082,0.68754,1.04478,0.74545,0.38674,0.4598,0.3073,1.04666,0.66063,1.06004,0.0003763,0.0003763,0.0003763
65,1969.19,1.03979,0.65673,1.03783,0.7426,0.39471,0.45786,0.3076,1.05642,0.66112,1.04839,0.0003664,0.0003664,0.0003664
